segment,mean,median,max
2013-01-01-12,14.49,16.02,26.21
2013-01-02-9,21.19,20.89,63.46
2013-01-02-12,52.66,49.01,184.79
2013-01-02-15,22.13,20.38,202.6
2013-01-03-12,14.44,15.17,29.1
2013-01-09-9,28.19,16.86,226.63
2013-01-14-9,40.25,36.19,147.76
2013-01-14-12,32.63,32.98,97.35
2013-01-15-9,18.36,16.81,58.01
2013-01-17-12,16.76,15.44,74.49
2013-01-17-15,106.68,108.77,248.84
2013-01-18-3,19.63,17.54,247.7
2013-01-20-6,76.86,61.33,249.07
2013-01-20-9,69.56,69.28,231.14
2013-01-20-12,30.69,30.34,79.88
2013-01-21-3,15.75,16.91,26.68
2013-01-21-6,18.0,20.23,223.89
2013-01-21-9,28.41,24.06,192.37
2013-01-21-12,22.45,17.18,129.12
2013-01-23-6,19.11,16.02,248.62
2013-01-25-3,16.95,16.79,35.41
2013-01-25-12,25.1,16.53,164.61
2013-01-26-3,23.5,24.11,70.89
2013-01-26-12,136.09,136.46,249.07
2013-01-26-15,105.53,101.61,249.07
2013-01-27-3,21.83,23.13,41.06
2013-01-27-12,35.82,34.58,248.96
2013-01-27-15,25.17,18.78,130.76
2013-01-28-9,20.28,18.91,186.19
2013-01-28-12,32.52,25.71,248.62
2013-01-28-15,26.23,24.13,123.52
2013-01-29-9,21.21,16.74,207.76
2013-01-29-12,28.1,22.67,248.39
2013-01-29-15,21.89,25.24,55.8
2013-01-30-9,16.61,18.09,34.34
2013-01-30-12,16.39,17.16,31.8
2013-02-01-9,34.47,23.12,114.98
2013-02-01-12,52.61,48.14,141.53
2013-02-01-15,26.14,27.19,248.39
2013-02-02-6,33.83,34.43,218.42
2013-02-02-9,92.2,87.27,249.07
2013-02-02-12,24.27,18.1,110.33
2013-02-02-15,30.52,31.97,90.74
2013-02-03-12,26.9,17.48,132.19
2013-02-07-6,36.19,23.66,171.87
2013-02-07-9,39.24,30.07,218.31
2013-02-07-12,65.97,64.28,202.33
2013-02-08-6,30.55,27.77,133.19
2013-02-08-12,115.49,109.64,224.94
2013-02-08-15,31.56,31.24,99.85
2013-02-10-6,23.87,21.59,97.01
2013-02-13-9,41.61,25.17,247.28
2013-02-14-6,61.0,43.46,242.66
2013-02-14-9,104.07,98.18,248.73
2013-02-14-12,95.25,93.86,205.34
2013-02-14-15,41.95,25.41,205.09
2013-02-16-9,26.53,16.71,185.67
2013-02-17-6,16.57,16.31,127.28
2013-02-17-9,53.47,47.98,249.07
2013-02-17-12,92.01,90.21,228.46
2013-02-17-15,43.05,35.75,189.39
2013-02-18-6,15.58,16.02,25.39
2013-02-19-9,39.39,27.59,242.35
2013-02-19-12,67.58,60.09,237.66
2013-02-20-6,23.32,17.5,248.96
2013-02-20-9,74.54,67.06,240.7
2013-02-20-12,65.3,51.92,247.82
2013-02-21-9,17.61,20.62,31.78
2013-02-22-9,98.07,100.57,249.07
2013-02-22-12,116.08,115.14,244.14
2013-02-23-6,17.93,17.32,46.42
2013-02-23-9,71.78,31.32,248.73
2013-02-23-12,52.46,39.04,200.22
2013-02-24-9,84.02,88.5,249.07
2013-02-24-12,28.18,23.39,183.9
2013-02-25-3,13.39,15.07,94.75
2013-02-25-6,19.74,21.26,39.49
2013-02-26-12,78.78,83.42,248.73
2013-02-27-9,22.36,17.34,216.96
2013-02-27-12,20.63,17.34,248.62
2013-02-28-9,43.19,34.56,247.36
2013-02-28-12,40.18,26.75,248.39
2013-03-01-6,58.76,47.42,249.07
2013-03-01-9,138.57,139.78,249.07
2013-03-01-12,26.43,26.97,63.89
2013-03-02-12,18.69,18.19,207.51
2013-03-03-9,31.45,21.35,232.57
2013-03-07-9,44.22,18.45,246.31
2013-03-09-9,33.48,24.29,222.42
2013-03-09-12,42.67,37.21,231.41
2013-03-12-12,27.38,15.44,183.93
2013-03-15-6,46.17,39.29,243.71
2013-03-15-9,38.39,19.32,236.53
2013-03-16-6,47.57,35.1,242.0
2013-03-16-9,45.13,36.88,198.68
2013-03-16-12,22.62,20.09,177.33
2013-03-17-6,80.58,72.42,249.07
2013-03-17-9,124.22,118.51,249.07
2013-03-17-12,122.87,123.81,249.07
2013-03-20-12,44.68,36.85,214.5
2013-03-21-6,53.1,45.26,249.07
2013-03-21-9,23.02,22.39,97.75
2013-03-23-9,53.38,48.01,138.46
2013-03-23-12,40.82,33.53,127.99
2013-03-24-6,24.32,19.63,249.07
2013-03-24-9,67.12,60.62,248.84
2013-03-24-12,20.35,16.12,220.95
2013-03-27-6,37.22,28.56,240.15
2013-03-28-6,28.25,15.78,236.33
2013-03-28-9,94.6,93.52,240.68
2013-03-28-12,19.05,15.25,248.96
2013-03-29-6,118.44,110.97,247.48
2013-03-29-9,133.92,129.25,249.07
2013-03-30-6,20.3,18.49,199.13
2013-03-30-9,39.65,32.09,230.18
2013-04-01-9,44.58,37.04,201.4
2013-04-01-12,21.48,15.91,106.95
2013-04-04-9,38.86,28.3,215.69
2013-04-07-12,43.63,18.75,219.79
2013-04-11-9,37.87,21.42,238.81
2013-04-14-6,52.16,35.78,249.07
2013-04-14-9,62.48,36.62,240.68
2013-04-20-9,37.96,15.8,248.16
2013-04-23-9,33.98,22.39,248.96
2013-04-24-9,20.82,17.91,206.1
2013-04-25-9,37.22,24.15,210.97
2013-04-26-9,32.07,18.37,226.07
2013-04-27-9,20.23,21.54,241.69
2013-04-28-9,23.25,15.9,248.73
2013-04-29-9,26.45,23.58,132.28
2013-04-30-9,34.08,36.28,179.51
2013-08-10-9,33.68,25.72,113.1
2013-08-12-9,21.09,22.87,205.1
2013-08-13-9,27.75,19.67,219.5
2013-08-14-9,32.83,22.37,224.48
2013-08-15-9,100.17,107.15,249.07
2013-08-16-9,53.95,40.49,224.48
2013-08-18-9,35.33,31.66,247.48
2013-08-21-9,106.21,120.81,248.84
2013-08-22-9,61.55,57.94,248.16
2013-08-23-9,28.05,22.09,127.52
2013-08-24-9,58.46,36.6,249.07
2013-08-25-9,68.55,59.16,249.07
2013-08-28-6,28.21,18.16,220.84
2013-09-04-9,35.52,16.66,230.18
2013-09-10-9,48.85,27.9,214.68
2013-09-11-9,28.71,22.28,188.16
2013-09-13-6,19.71,15.39,200.84
2013-09-13-12,42.39,19.63,211.27
2013-09-17-6,41.27,28.3,218.52
2013-09-17-9,24.97,22.29,249.07
2013-09-18-9,20.14,20.36,91.66
2013-09-18-12,30.6,28.79,109.6
2013-09-20-6,44.9,28.2,239.15
2013-09-20-9,46.91,37.39,249.07
2013-09-20-12,23.21,18.02,247.7
2013-09-22-6,28.33,21.31,139.72
2013-09-24-9,48.13,21.11,216.56
2013-10-02-12,18.34,17.49,114.77
2013-10-07-9,17.71,16.51,56.41
2013-10-08-9,29.45,24.37,189.28
2013-10-09-3,16.22,15.06,84.51
2013-10-09-6,55.33,38.42,238.02
2013-10-09-9,52.21,41.2,175.79
2013-10-14-12,77.12,71.52,235.85
2013-10-15-3,23.04,24.47,116.87
2013-10-15-6,53.47,43.23,242.89
2013-10-15-9,39.95,29.34,168.95
2013-10-17-6,15.96,18.08,77.31
2013-10-17-9,99.97,98.17,249.07
2013-10-17-12,28.28,25.96,98.18
2013-10-19-3,13.8,17.87,52.36
2013-10-19-6,17.28,17.66,37.75
2013-10-19-12,17.79,18.95,156.44
2013-10-20-9,22.25,19.88,240.18
2013-10-20-12,23.37,21.4,249.07
2013-10-21-6,18.98,20.58,56.34
2013-10-21-9,19.83,20.83,116.48
2013-10-21-12,21.45,20.61,248.96
2013-10-22-9,40.62,19.78,236.08
2013-10-22-12,20.62,19.97,248.96
2013-10-23-9,35.8,21.38,235.28
2013-10-30-6,37.24,23.37,222.45
2013-10-30-9,106.02,92.3,249.07
2013-10-30-12,73.45,52.33,249.07
2013-11-01-6,24.03,15.69,205.89
2013-11-01-9,45.63,39.08,207.03
2013-11-01-12,32.98,30.88,95.81
2013-11-03-6,25.22,17.76,223.69
2013-11-03-9,33.59,29.07,184.39
2013-11-04-9,33.35,15.74,219.38
2013-11-04-12,25.13,17.78,173.32
2013-11-05-9,18.41,15.7,81.22
2013-11-07-6,52.98,54.31,220.04
2013-11-07-9,107.63,91.25,249.07
2013-11-07-12,51.96,41.02,243.46
2013-11-09-3,19.46,15.78,113.9
2013-11-09-6,53.08,52.82,141.13
2013-11-09-9,44.66,28.18,238.36
2013-11-09-12,32.64,30.01,128.01
2013-11-10-9,26.68,25.51,89.45
2013-11-11-3,33.45,19.35,118.8
2013-11-11-6,67.41,63.15,217.06
2013-11-11-9,94.3,91.86,238.66
2013-11-11-12,49.25,46.19,146.28
2013-11-11-15,31.55,32.58,172.35
2013-11-13-6,15.9,17.49,27.74
2013-11-13-12,16.59,15.26,57.06
2013-11-16-15,15.54,17.47,65.08
2013-11-17-3,22.58,22.63,211.7
2013-11-19-3,15.92,17.62,26.09
2013-11-20-9,37.76,28.09,217.85
2013-11-20-12,73.52,54.28,248.5
2013-11-22-12,15.19,16.03,25.03
2013-11-22-15,12.2,15.13,31.81
2013-11-23-6,41.65,24.27,168.46
2013-11-23-9,76.26,75.87,213.0
2013-11-23-12,59.71,60.87,183.91
2013-11-23-15,14.82,16.46,57.73
2013-11-29-9,84.87,81.63,239.45
2013-11-29-12,37.35,22.87,202.19
2013-11-29-15,18.13,17.12,47.3
2013-11-30-9,34.61,29.94,140.01
2013-11-30-15,32.68,30.1,122.64
2013-12-01-6,34.7,28.46,230.78
2013-12-01-9,38.72,23.74,205.43
2013-12-03-9,59.18,58.39,239.45
2013-12-03-12,89.91,88.04,192.7
2013-12-03-15,40.23,39.57,117.16
2013-12-05-9,36.26,26.98,179.16
2013-12-08-3,64.13,62.75,245.08
2013-12-08-6,72.34,61.75,249.07
2013-12-08-15,29.41,30.19,64.32
2013-12-09-12,29.52,26.25,91.93
2013-12-09-15,24.72,23.47,62.07
2013-12-14-12,30.17,22.55,99.24
2013-12-14-15,67.09,57.11,246.56
2013-12-16-12,36.43,29.65,134.54
2013-12-16-15,22.59,18.62,96.9
2013-12-17-3,21.98,22.67,36.78
2013-12-18-3,14.14,15.29,26.07
2013-12-18-15,14.88,16.75,30.78
2013-12-19-6,15.12,15.59,29.45
2013-12-20-9,29.36,25.04,219.33
2013-12-21-9,16.2,16.57,74.53
2013-12-21-12,15.23,17.42,29.96
2013-12-21-15,16.95,18.69,37.83
2013-12-22-9,16.04,16.47,31.73
2013-12-22-15,16.1,17.21,32.38
2013-12-23-15,16.46,16.49,248.96
2013-12-24-15,16.2,15.77,248.27
2013-12-25-9,82.83,79.21,248.96
2013-12-25-12,84.68,65.47,248.5
2013-12-25-15,113.52,105.31,248.84
2013-12-26-9,47.45,38.58,223.31
2013-12-26-12,32.95,24.76,158.47
2013-12-31-9,31.02,18.15,217.89
